time,open,high,low,close,tick_volume,spread,real_volume
2020-04-29 23:26:00,1.08739,1.08739,1.08738,1.08739,3,17,0
2020-04-29 23:27:00,1.08739,1.08739,1.08734,1.08734,4,18,0
2020-04-29 23:28:00,1.08734,1.08743,1.08732,1.08732,9,3,0
2020-04-29 23:29:00,1.08732,1.08744,1.08732,1.08743,19,18,0
2020-04-29 23:30:00,1.08743,1.08753,1.08743,1.0875,28,18,0
2020-04-29 23:31:00,1.08749,1.0875,1.08743,1.08744,19,18,0
2020-04-29 23:32:00,1.08744,1.08761,1.08744,1.08759,42,18,0
2020-04-29 23:33:00,1.08759,1.08765,1.08757,1.08765,16,18,0
2020-04-29 23:34:00,1.08765,1.0877,1.08761,1.0877,27,18,0
2020-04-29 23:35:00,1.0877,1.08772,1.08757,1.08758,14,18,0
2020-04-29 23:36:00,1.08758,1.08758,1.08738,1.08738,22,18,0
2020-04-29 23:37:00,1.08738,1.08758,1.08738,1.08755,43,18,0
2020-04-29 23:38:00,1.08755,1.08759,1.08753,1.08753,17,18,0
2020-04-29 23:39:00,1.08753,1.08756,1.08748,1.08748,25,18,0
2020-04-29 23:40:00,1.08748,1.08761,1.08747,1.08759,23,16,0
2020-04-29 23:41:00,1.08759,1.08761,1.08756,1.08757,13,17,0
2020-04-29 23:42:00,1.08757,1.08774,1.08757,1.08773,14,19,0
2020-04-29 23:43:00,1.08773,1.08776,1.08773,1.08775,6,20,0
2020-04-29 23:44:00,1.0878,1.08782,1.08778,1.08779,13,19,0
2020-04-29 23:45:00,1.08779,1.08779,1.08774,1.08776,12,19,0
2020-04-29 23:46:00,1.08778,1.08779,1.08768,1.08768,28,18,0
2020-04-29 23:47:00,1.08769,1.08776,1.08764,1.08775,15,18,0
2020-04-29 23:48:00,1.08774,1.08777,1.08767,1.08768,45,17,0
2020-04-29 23:49:00,1.08768,1.08776,1.08768,1.08771,34,18,0
2020-04-29 23:50:00,1.08772,1.08777,1.08753,1.08759,55,17,0
2020-04-29 23:51:00,1.0876,1.08775,1.0876,1.08765,25,6,0
2020-04-29 23:52:00,1.08764,1.08766,1.08763,1.08766,11,18,0
2020-04-29 23:53:00,1.08766,1.08767,1.08762,1.08763,14,19,0
2020-04-29 23:54:00,1.08763,1.08776,1.08763,1.08771,24,17,0
2020-04-29 23:55:00,1.08771,1.08782,1.08768,1.08778,37,18,0
2020-04-29 23:56:00,1.08777,1.08777,1.08767,1.08771,32,19,0
2020-04-29 23:57:00,1.08771,1.08784,1.08771,1.08775,27,16,0
2020-04-29 23:58:00,1.08775,1.08778,1.08713,1.08727,46,16,0
2020-04-29 23:59:00,1.08727,1.08735,1.08694,1.08724,48,19,0
2020-04-30 00:00:00,1.08741,1.08806,1.08737,1.08806,3,17,0
